7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;148,40;1,87;0,00;0,00;
0,00;0,00;148,50;1,87;0,00;0,00;
0,00;0,00;148,59;1,91;0,00;0,00;
0,00;0,00;148,69;1,92;0,00;0,00;
0,00;0,00;148,78;1,93;0,00;0,00;
0,00;0,00;148,88;1,96;0,00;0,00;
0,00;0,00;148,97;1,99;0,00;0,00;
0,00;0,00;149,07;1,98;0,00;0,00;
0,00;0,00;149,17;2,00;0,00;0,00;
0,00;0,00;149,26;2,02;0,00;0,00;
0,00;0,00;149,36;2,02;0,00;0,00;
0,00;0,00;149,46;2,04;0,00;0,00;
0,00;0,00;149,55;2,06;0,00;0,00;
0,00;0,00;149,65;2,06;0,00;0,00;
0,00;0,00;149,74;2,07;0,00;0,00;
0,00;0,00;149,84;2,09;0,00;0,00;
0,00;0,00;149,93;2,09;0,00;0,00;
0,00;0,00;150,03;2,07;0,00;0,00;
0,00;0,00;150,13;2,10;0,00;0,00;
0,00;0,00;150,22;2,09;0,00;0,00;
0,00;0,00;150,32;2,07;0,00;0,00;
0,00;0,00;150,42;2,08;0,00;0,00;
0,00;0,00;150,51;2,08;0,00;0,00;
0,00;0,00;150,61;2,09;0,00;0,00;
0,00;0,00;150,70;2,07;0,00;0,00;
0,00;0,00;150,80;2,07;0,00;0,00;
0,00;0,00;150,90;2,05;0,00;0,00;
0,00;0,00;150,99;2,05;0,00;0,00;
0,00;0,00;151,09;2,04;0,00;0,00;
0,00;0,00;151,18;2,05;0,00;0,00;
0,00;0,00;151,28;2,02;0,00;0,00;
0,00;0,00;151,38;2,02;0,00;0,00;
0,00;0,00;151,47;2,00;0,00;0,00;
0,00;0,00;151,57;1,99;0,00;0,00;
0,00;0,00;151,66;1,99;0,00;0,00;
0,00;0,00;151,76;1,98;0,00;0,00;
0,00;0,00;151,86;1,96;0,00;0,00;
0,00;0,00;151,95;1,96;0,00;0,00;
0,00;0,00;152,05;1,96;0,00;0,00;
0,00;0,00;152,14;1,95;0,00;0,00;
0,00;0,00;152,24;1,95;0,00;0,00;
0,00;0,00;152,34;1,95;0,00;0,00;
0,00;0,00;152,43;1,93;0,00;0,00;
0,00;0,00;152,53;1,92;0,00;0,00;
0,00;0,00;152,62;1,93;0,00;0,00;
0,00;0,00;152,72;1,92;0,00;0,00;
0,00;0,00;152,82;1,90;0,00;0,00;
0,00;0,00;152,91;1,90;0,00;0,00;
0,00;0,00;153,01;1,90;0,00;0,00;
0,00;0,00;153,10;1,87;0,00;0,00;
0,00;0,00;153,20;1,88;0,00;0,00;
0,00;0,00;153,30;1,90;0,00;0,00;
0,00;0,00;153,39;1,89;0,00;0,00;
0,00;0,00;153,49;1,90;0,00;0,00;
0,00;0,00;153,58;1,92;0,00;0,00;
0,00;0,00;153,68;1,93;0,00;0,00;
0,00;0,00;153,78;1,95;0,00;0,00;
0,00;0,00;153,87;1,97;0,00;0,00;
0,00;0,00;153,97;1,96;0,00;0,00;
0,00;0,00;154,06;1,96;0,00;0,00;
0,00;0,00;154,16;1,99;0,00;0,00;
0,00;0,00;154,26;2,01;0,00;0,00;
0,00;0,00;154,35;2,00;0,00;0,00;
0,00;0,00;154,45;2,01;0,00;0,00;
0,00;0,00;154,54;2,02;0,00;0,00;
0,00;0,00;154,64;2,02;0,00;0,00;
0,00;0,00;154,74;2,03;0,00;0,00;
0,00;0,00;154,83;2,04;0,00;0,00;
0,00;0,00;154,93;2,03;0,00;0,00;
0,00;0,00;155,02;2,04;0,00;0,00;
0,00;0,00;155,12;2,04;0,00;0,00;
0,00;0,00;155,22;2,04;0,00;0,00;
