Nr;Date;ProgNr;ProgName;State;
3675;03.02.20 10:46:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;197,10;10,05;0,00;0,00;
0,00;0,00;196,68;-0,23;0,00;0,00;
0,00;0,00;195,91;-0,23;0,00;0,00;
0,00;0,00;194,74;-0,08;0,00;0,00;
0,00;0,00;193,20;-0,16;0,00;0,00;
0,00;0,00;191,27;-0,39;0,00;0,00;
0,00;0,00;188,97;-0,23;0,00;0,00;
0,00;0,00;186,63;-0,39;0,00;0,00;
0,00;0,00;184,23;-0,23;0,00;0,00;
0,00;0,00;181,82;-0,23;0,00;0,00;
0,00;0,00;179,42;-0,23;0,00;0,00;
0,00;0,00;177,02;-0,23;0,00;0,00;
0,00;0,00;174,61;-0,23;0,00;0,00;
0,00;0,00;172,21;-0,31;0,00;0,00;
0,00;0,00;169,81;-0,23;0,00;0,00;
0,00;0,00;167,41;-0,16;0,00;0,00;
0,00;0,00;165,02;-0,23;0,00;0,00;
0,00;0,00;162,61;-0,16;0,00;0,00;
0,00;0,00;160,21;-0,23;0,00;0,00;
0,00;0,00;157,81;-0,08;0,00;0,00;
0,00;0,00;155,41;-0,08;0,00;0,00;
0,00;0,00;153,01;-0,08;0,00;0,00;
0,00;0,00;150,61;-0,16;0,00;0,00;
0,00;0,00;148,21;-0,16;0,00;0,00;
0,00;0,00;143,41;-0,08;0,00;0,00;
0,00;0,00;141,02;-0,16;0,00;0,00;
0,00;0,00;138,61;-0,16;0,00;0,00;
0,00;0,00;136,21;-0,08;0,00;0,00;
0,00;0,00;133,81;-0,16;0,00;0,00;
0,00;0,00;131,41;-0,08;0,00;0,00;
0,00;0,00;129,01;-0,08;0,00;0,00;
0,00;0,00;126,61;-0,16;0,00;0,00;
0,00;0,00;121,81;-0,08;0,00;0,00;
0,00;0,00;119,41;-0,16;0,00;0,00;
0,00;0,00;117,02;-0,08;0,00;0,00;
0,00;0,00;114,61;-0,16;0,00;0,00;
0,00;0,00;112,21;-0,08;0,00;0,00;
0,00;0,00;109,81;-0,16;0,00;0,00;
0,00;0,00;107,41;-0,16;0,00;0,00;
0,00;0,00;105,01;-0,16;0,00;0,00;
0,00;0,00;100,21;-0,08;0,00;0,00;
0,00;0,00;97,81;-0,16;0,00;0,00;
0,00;0,00;95,41;-0,08;0,00;0,00;
0,00;0,00;93,01;-0,16;0,00;0,00;
0,00;0,00;90,61;-0,08;0,00;0,00;
0,00;0,00;88,21;-0,08;0,00;0,00;
0,00;0,00;85,81;-0,16;0,00;0,00;
0,00;0,00;83,41;-0,16;0,00;0,00;
0,00;0,00;81,02;-0,08;0,00;0,00;
0,00;0,00;78,61;-0,16;0,00;0,00;
0,00;0,00;76,21;-0,16;0,00;0,00;
0,00;0,00;73,81;-0,16;0,00;0,00;
0,00;0,00;71,41;-0,16;0,00;0,00;
0,00;0,00;69,01;-0,16;0,00;0,00;
0,00;0,00;66,61;-0,16;0,00;0,00;
0,00;0,00;64,21;-0,16;0,00;0,00;
0,00;0,00;61,81;-0,16;0,00;0,00;
0,00;0,00;59,41;-0,08;0,00;0,00;
0,00;0,00;57,02;-0,08;0,00;0,00;
0,00;0,00;54,61;-0,08;0,00;0,00;
0,00;0,00;52,21;-0,16;0,00;0,00;
0,00;0,00;49,81;-0,16;0,00;0,00;
0,00;0,00;42,61;-0,08;0,00;0,00;
0,00;0,00;40,21;-0,08;0,00;0,00;
0,00;0,00;37,81;-0,08;0,00;0,00;
0,00;0,00;33,02;-0,16;0,00;0,00;
0,00;0,00;30,61;-0,16;0,00;0,00;
0,00;0,00;28,21;-0,16;0,00;0,00;
0,00;0,00;25,81;-0,08;0,00;0,00;
0,00;0,00;23,41;-0,16;0,00;0,00;
0,00;0,00;21,02;-0,08;0,00;0,00;
0,00;0,00;15,70;-0,08;0,00;0,00;
0,00;0,00;14,65;0,08;0,00;0,00;
0,00;0,00;13,98;0,08;0,00;0,00;
0,00;0,00;13,67;0,16;0,00;0,00;
0,00;0,00;13,60;0,16;0,00;0,00;
0,00;0,00;13,58;0,08;0,00;0,00;
