3943;17.02.20 16:46:57;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;117,40;-0,16;0,00;0,00;
0,00;0,00;115,00;-0,23;0,00;0,00;
0,00;0,00;112,60;-0,23;0,00;0,00;
0,00;0,00;110,20;-0,23;0,00;0,00;
0,00;0,00;107,80;-0,16;0,00;0,00;
0,00;0,00;105,40;-0,31;0,00;0,00;
0,00;0,00;103,01;-0,31;0,00;0,00;
0,00;0,00;100,60;-0,31;0,00;0,00;
0,00;0,00;98,20;-0,23;0,00;0,00;
0,00;0,00;95,80;-0,16;0,00;0,00;
0,00;0,00;93,40;-0,16;0,00;0,00;
0,00;0,00;91,00;-0,16;0,00;0,00;
0,00;0,00;88,60;-0,16;0,00;0,00;
0,00;0,00;86,20;-0,23;0,00;0,00;
0,00;0,00;83,80;-0,08;0,00;0,00;
0,00;0,00;81,40;-0,16;0,00;0,00;
0,00;0,00;79,01;-0,23;0,00;0,00;
0,00;0,00;76,60;-0,08;0,00;0,00;
0,00;0,00;74,20;-0,23;0,00;0,00;
0,00;0,00;71,80;-0,16;0,00;0,00;
0,00;0,00;69,40;-0,08;0,00;0,00;
0,00;0,00;67,01;-0,23;0,00;0,00;
0,00;0,00;64,60;-0,23;0,00;0,00;
0,00;0,00;62,20;-0,23;0,00;0,00;
0,00;0,00;59,80;-0,16;0,00;0,00;
0,00;0,00;57,40;-0,23;0,00;0,00;
0,00;0,00;55,00;-0,23;0,00;0,00;
0,00;0,00;52,60;-0,23;0,00;0,00;
0,00;0,00;50,20;-0,23;0,00;0,00;
0,00;0,00;47,80;-0,23;0,00;0,00;
0,00;0,00;45,40;-0,23;0,00;0,00;
0,00;0,00;43,01;-0,16;0,00;0,00;
0,00;0,00;40,60;-0,23;0,00;0,00;
0,00;0,00;38,20;-0,31;0,00;0,00;
0,00;0,00;35,95;-0,23;0,00;0,00;
0,00;0,00;32,51;-0,16;0,00;0,00;
0,00;0,00;30,12;-0,08;0,00;0,00;
0,00;0,00;30,03;-0,08;0,00;0,00;
0,00;0,00;29,97;-0,08;0,00;0,00;
